#energy eenergy flux eflux
8.301029995663981 0.21714724095162588 -10.069579874387165 0.04814132654688534
8.812913356642856 0.23385087487098175 -9.974052751672382 0.04153267920560399
9.301029995663981 0.2171472409516259 -10.005934308429676 0.0647354904958344
9.812913356642856 0.23385087487098175 -9.730149936234634 0.07554847133568725
10.301029995663981 0.21714724095162588 -9.874060793386807 0.16426870439000923
10.812913356642856 0.23385087487098175 -9.668265330264393 0.11511419871162426
0.2871296207191108 nan -9.544479406033947 0.0024096323269048297
0.4513258084895196 nan -9.56225292677566 0.0003583329880663152
0.554004321011903 nan -9.599514299851624 0.0002523171041765849
0.6787914343662439 nan -9.629323740693323 0.00016864194634757466
0.742481606821493 nan -9.64468863554711 0.0001931406716533286
0.8089532991559112 nan -9.67117556471586 0.00018167328779922253
-3.0212718228615083 nan -11.016079971849129 0.024586943529933004
-3.0212718228615083 nan -11.109356098916052 0.036876482771684364
2.5250438536929547 nan -10.5770533852 0.12009551085
2.607454059892957 nan -10.6289429605 0.0919437035171
2.685740763692957 nan -10.6746212653 0.0843615100181
2.7671548994929562 nan -10.7106512468 0.119922494478
2.848188148692957 nan -10.8270408817 0.123000033304
2.9281368421929574 nan -10.8988018477 0.0891840079052
3.0021651078929548 nan -10.9708785792 0.0937868448146
3.0854671030929577 nan -11.024794243 0.0873043195836
3.1643519220929566 nan -11.0190212144 0.116514593166
3.243656636892956 nan -11.0189024198 0.128086961765
3.322218300292958 nan -11.0490733988 0.114439507499
3.4073865897929547 nan -11.0041982334 0.15401517906
3.486429490792956 nan -11.0669719685 0.140037543373
3.5619917911929573 nan -11.1558794524 0.128154511457
3.644437637692958 nan -11.2475367951 0.160121498143
3.7193303387929557 nan -11.2618198128 0.171699962739
3.8075340660929573 nan -11.2578395523 0.151789436579
3.8842218757929547 nan -11.2896754555 0.163943614803
3.963312236392957 nan -11.1922142614 0.180494758582
4.039806702292955 nan -11.0776437311 0.169884714202
4.120865884392957 nan -11.1021571862 0.214589618251
4.200849548592958 nan -11.3158078287 0.155225195407
4.284655283592956 nan -11.1663067263 0.155798507492
4.350896126192955 nan -11.2648495343 0.257410313096
4.447467165192956 nan -11.1180620857 0.218337075378
4.509201552592957 nan -10.7185660561 0.194222411679
4.595867686192955 nan -10.8908399674 0.194222404253
11.178528040273589 0.06792480400184481 -10.271307855794374 0.07651412062919209
11.32138506222023 0.06792475349604932 -10.480007967826415 0.0707117539114587
11.464242075141085 0.06792485352601942 -10.5767541048434 0.09435323320198205
11.60709886297103 0.06792486411832685 -10.685003001656362 0.20020736418561916
11.749956498049471 0.06792483561284667 -10.562557712337773 0.22881679589088563
