	1.79984e+10	1.79984e+10	9.99788e-05	7.12761e+13	5.49785e+34	0.00000e+00 
	7.79569e+10	9.59552e+10	9.98871e-05	7.13415e+13	1.27011e+35	0.00000e+00 
	1.02034e+11	1.97989e+11	9.97674e-05	7.14271e+13	2.21222e+35	0.00000e+00 
	1.33505e+11	3.31495e+11	9.96112e-05	7.15391e+13	3.44344e+35	0.00000e+00 
	1.74624e+11	5.06119e+11	9.94076e-05	7.16856e+13	5.05134e+35	0.00000e+00 
	2.28304e+11	7.34423e+11	9.91426e-05	7.18772e+13	7.15020e+35	0.00000e+00 
	2.26667e+11	9.61089e+11	9.88810e-05	7.20674e+13	9.23068e+35	0.00000e+00 
	2.96770e+11	1.25786e+12	9.85405e-05	7.23164e+13	1.19533e+36	0.00000e+00 
	3.88230e+11	1.64609e+12	9.80986e-05	7.26422e+13	1.55131e+36	0.00000e+00 
	5.07349e+11	2.15344e+12	9.75270e-05	7.30679e+13	2.01368e+36	0.00000e+00 
	6.63328e+11	2.81677e+12	9.67897e-05	7.36245e+13	2.58349e+36	0.00000e+00 
	6.54169e+11	3.47094e+12	9.60734e-05	7.41734e+13	3.14069e+36	0.00000e+00 
	8.59527e+11	4.33046e+12	9.51483e-05	7.48947e+13	3.86739e+36	0.00000e+00 
	1.12864e+12	5.45910e+12	9.39601e-05	7.58417e+13	4.81242e+36	0.00000e+00 
	1.48286e+12	6.94197e+12	9.24435e-05	7.70860e+13	6.03853e+36	0.00000e+00 
	1.95114e+12	8.89311e+12	9.05210e-05	7.87232e+13	7.62576e+36	0.00000e+00 
	1.92333e+12	1.08164e+13	8.87025e-05	8.03370e+13	9.15776e+36	0.00000e+00 
	2.57004e+12	1.33865e+13	8.63837e-05	8.24936e+13	1.11693e+37	0.00000e+00 
	3.45336e+12	1.68398e+13	8.34523e-05	8.53913e+13	1.36703e+37	0.00000e+00 
	3.46724e+12	2.03071e+13	8.07027e-05	8.83006e+13	1.60957e+37	0.00000e+00 
	4.71512e+12	2.50222e+13	7.72417e-05	9.22571e+13	1.92844e+37	0.00000e+00 
