	1.23587e-01	3.64927e-01	2.48323e+36	nan	0.00000e+00	0.00000e+00	1.23587e-01	3.64927e-01	2.48323e+36
	1.25068e-01	3.65123e-01	3.48966e+36	nan	0.00000e+00	0.00000e+00	1.25068e-01	3.65123e-01	3.48966e+36
	1.25678e-01	3.64863e-01	4.80394e+36	nan	0.00000e+00	0.00000e+00	1.25678e-01	3.64863e-01	4.80394e+36
	1.25803e-01	3.64899e-01	6.55840e+36	nan	0.00000e+00	0.00000e+00	1.25803e-01	3.64899e-01	6.55840e+36
	1.25861e-01	3.64851e-01	8.93666e+36	nan	0.00000e+00	0.00000e+00	1.25861e-01	3.64851e-01	8.93666e+36
	1.25931e-01	3.64763e-01	1.21589e+37	nan	0.00000e+00	0.00000e+00	1.25931e-01	3.64763e-01	1.21589e+37
	1.26010e-01	3.64612e-01	1.65058e+37	nan	0.00000e+00	0.00000e+00	1.26010e-01	3.64612e-01	1.65058e+37
	1.26084e-01	3.64360e-01	2.23338e+37	nan	0.00000e+00	0.00000e+00	1.26084e-01	3.64360e-01	2.23338e+37
	1.26125e-01	3.63952e-01	3.00796e+37	nan	0.00000e+00	0.00000e+00	1.26125e-01	3.63952e-01	3.00796e+37
	1.26082e-01	3.63314e-01	4.02549e+37	nan	0.00000e+00	0.00000e+00	1.26082e-01	3.63314e-01	4.02549e+37
	1.25887e-01	3.62359e-01	5.34256e+37	nan	0.00000e+00	0.00000e+00	1.25887e-01	3.62359e-01	5.34256e+37
	1.25480e-01	3.61024e-01	7.01785e+37	nan	0.00000e+00	0.00000e+00	1.25480e-01	3.61024e-01	7.01785e+37
	1.24861e-01	3.59338e-01	9.10879e+37	nan	0.00000e+00	0.00000e+00	1.24861e-01	3.59338e-01	9.10879e+37
	1.24146e-01	3.57513e-01	1.16689e+38	nan	0.00000e+00	0.00000e+00	1.24146e-01	3.57513e-01	1.16689e+38
	1.23562e-01	3.55974e-01	1.47441e+38	nan	0.00000e+00	0.00000e+00	1.23562e-01	3.55974e-01	1.47441e+38
	1.23352e-01	3.55224e-01	1.83626e+38	nan	0.00000e+00	0.00000e+00	1.23352e-01	3.55224e-01	1.83626e+38
	1.23656e-01	3.55613e-01	2.25171e+38	nan	0.00000e+00	0.00000e+00	1.23656e-01	3.55613e-01	2.25171e+38
	1.24458e-01	3.57252e-01	2.71437e+38	nan	0.00000e+00	0.00000e+00	1.24458e-01	3.57252e-01	2.71437e+38
	1.25638e-01	3.60148e-01	3.21040e+38	nan	0.00000e+00	0.00000e+00	1.25638e-01	3.60148e-01	3.21040e+38
	1.27050e-01	3.64365e-01	3.71734e+38	nan	0.00000e+00	0.00000e+00	1.27050e-01	3.64365e-01	3.71734e+38
	1.28588e-01	3.70024e-01	4.20449e+38	nan	0.00000e+00	0.00000e+00	1.28588e-01	3.70024e-01	4.20449e+38
	1.30209e-01	3.77173e-01	4.63554e+38	nan	0.00000e+00	0.00000e+00	1.30209e-01	3.77173e-01	4.63554e+38
	1.31931e-01	3.85744e-01	4.97218e+38	nan	0.00000e+00	0.00000e+00	1.31931e-01	3.85744e-01	4.97218e+38
	1.33802e-01	3.95638e-01	5.17733e+38	nan	0.00000e+00	0.00000e+00	1.33802e-01	3.95638e-01	5.17733e+38
	1.35893e-01	4.06795e-01	5.21860e+38	nan	0.00000e+00	0.00000e+00	1.35893e-01	4.06795e-01	5.21860e+38
	1.38285e-01	4.19194e-01	5.07258e+38	nan	0.00000e+00	0.00000e+00	1.38285e-01	4.19194e-01	5.07258e+38
	1.41060e-01	4.32858e-01	4.73136e+38	nan	0.00000e+00	0.00000e+00	1.41060e-01	4.32858e-01	4.73136e+38
	1.44347e-01	4.47882e-01	4.20954e+38	nan	0.00000e+00	0.00000e+00	1.44347e-01	4.47882e-01	4.20954e+38
	1.49379e-01	4.63687e-01	3.54096e+38	nan	0.00000e+00	0.00000e+00	1.49379e-01	4.63687e-01	3.54096e+38
	1.52325e-01	4.72142e-01	2.70832e+38	nan	0.00000e+00	0.00000e+00	1.52325e-01	4.72142e-01	2.70832e+38
	1.56956e-01	4.90478e-01	2.02032e+38	nan	0.00000e+00	0.00000e+00	1.56956e-01	4.90478e-01	2.02032e+38
	1.62541e-01	5.10491e-01	1.40259e+38	nan	0.00000e+00	0.00000e+00	1.62541e-01	5.10491e-01	1.40259e+38
	1.68735e-01	5.30678e-01	8.87149e+37	nan	0.00000e+00	0.00000e+00	1.68735e-01	5.30678e-01	8.87149e+37
	1.75965e-01	5.51957e-01	5.08942e+37	nan	0.00000e+00	0.00000e+00	1.75965e-01	5.51957e-01	5.08942e+37
	1.84657e-01	5.73521e-01	2.59441e+37	nan	0.00000e+00	0.00000e+00	1.84657e-01	5.73521e-01	2.59441e+37
	1.94959e-01	5.93120e-01	1.13174e+37	nan	0.00000e+00	0.00000e+00	1.94959e-01	5.93120e-01	1.13174e+37
	2.06031e-01	6.10195e-01	4.02752e+36	nan	0.00000e+00	0.00000e+00	2.06031e-01	6.10195e-01	4.02752e+36
	2.19192e-01	6.24695e-01	1.19676e+36	nan	0.00000e+00	0.00000e+00	2.19192e-01	6.24695e-01	1.19676e+36
	2.34559e-01	6.33193e-01	2.70749e+35	nan	0.00000e+00	0.00000e+00	2.34559e-01	6.33193e-01	2.70749e+35
	2.53166e-01	6.34468e-01	4.54412e+34	nan	0.00000e+00	0.00000e+00	2.53166e-01	6.34468e-01	4.54412e+34
	2.78169e-01	6.28114e-01	5.14316e+33	nan	0.00000e+00	0.00000e+00	2.78169e-01	6.28114e-01	5.14316e+33
